a0,a1,a2,a3,a4,a5,c
True,True,True,True,True,True,True
False,False,True,True,True,True,True
False,True,False,True,False,True,True
False,False,True,True,False,True,True
True,False,False,True,False,True,False
False,True,False,False,True,False,False
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,True,False,True,False
False,True,True,True,False,True,True
True,False,False,True,True,False,True
True,False,False,False,False,False,False
True,True,False,True,False,True,True
False,False,False,False,True,True,False
False,True,True,True,False,False,True
False,True,True,True,True,False,True
False,False,True,True,True,False,True
False,True,True,False,False,True,False
False,False,False,True,True,False,False
True,False,True,True,False,False,False
False,False,True,False,False,False,True
False,False,False,False,True,False,False
True,False,True,False,False,False,False
False,True,True,True,True,True,True
False,True,False,True,True,True,True
True,False,False,False,False,True,False
False,False,True,False,False,True,True
True,True,True,True,False,False,False
True,False,True,False,True,False,True
True,True,True,True,True,False,False
False,False,False,False,False,False,False
False,True,True,False,False,False,False
False,False,True,False,True,False,True
True,False,False,False,True,True,True
False,True,True,False,True,False,False
True,True,False,True,True,False,False
False,True,False,True,False,False,True
True,False,True,True,True,True,True
False,True,False,False,False,False,False
True,True,True,True,False,True,True
True,True,False,False,False,True,True
False,False,True,True,False,False,True
False,True,False,False,True,True,False
True,False,True,True,False,True,False
True,True,False,False,True,True,True
True,True,True,False,True,False,False
True,True,False,True,False,False,False
False,False,False,True,True,True,False
True,True,False,True,True,True,True
False,False,True,False,True,True,True
False,False,False,True,False,False,False
True,True,True,False,False,True,True
False,True,True,False,True,True,False
True,False,True,True,True,False,True
True,False,False,False,True,False,True
False,True,False,True,True,False,True
True,False,True,False,False,True,False
True,False,True,False,True,True,True
True,True,False,False,False,False,False
True,True,True,False,True,True,True
True,False,False,True,False,False,False
True,True,False,False,True,False,False
